COLOR,W1,W2,W3,W4,W5,version
B,500.0004037109066,249.99929556798648,50000000.0,199.99923005056735,199.99923005056735,1
R,497.4152494305085,254.1997154733306,49999997.93109274,208.86486708669827,208.86486708669827,1
G,497.70618453902296,254.79597222344623,49999999.5588245,205.2731967985268,205.2731967985268,1
B,500.0005611262537,249.99898073632875,50000000.0,199.99889612790696,199.99889612790696,2
R,496.3829222176876,256.7504184632525,49999997.33991724,210.41497252308045,210.41497252308045,2
G,496.3053507307161,257.01175067145783,49999998.59456915,209.8376066675726,209.8376066675726,2
B,500.00077985313567,249.99867690501517,50000000.0,199.99853447313117,199.99853447313117,3
R,495.49306768816103,260.5851206862017,49999997.33991724,212.5181202956955,212.5181202956955,3
G,495.0539814536466,260.21414957477725,49999998.10445579,213.49993287080204,213.49993287080204,3
B,499.5781416066592,249.4690950519671,50000000.0,200.05787812838744,200.05787812838744,4
R,494.78523474768366,262.49401537401457,49999996.52554101,214.9892788847244,214.9892788847244,4
G,493.84783017261213,261.55747375082825,49999996.76143906,218.20993221756058,218.20993221756058,4
R,494.78523386030434,262.49339326152324,49999996.52554101,214.98840539824542,214.98840539824542,5
G,492.50729846783713,262.82037391694433,49999995.83144021,221.55034038744975,221.55034038744975,5
B,498.59834220674674,250.98849627073002,49999998.56236144,203.6134652014356,203.6134652014356,5
G,492.50755635974434,262.82008968686904,49999995.83144021,221.54995913280555,221.54995913280555,6
R,494.2769755243886,265.0347976828296,49999996.52554101,217.57910532015663,217.57910532015663,6
B,497.43824843250155,252.87808597580457,49999997.07790673,207.57911064079656,207.57911064079656,6
R,493.98248853190796,265.48054920789565,49999996.06357382,218.76443878731163,218.76443878731163,7
G,491.984227413862,263.026494254502,49999995.35584939,222.95033507828185,222.95033507828185,7
B,497.4345400990736,253.60374513028526,49999996.74537561,207.6072981038739,207.6072981038739,7
R,493.98248853190796,265.48054920789565,49999996.06357382,218.76443878731163,218.76443878731163,8
G,491.984227413862,263.026494254502,49999995.35584939,222.95033507828185,222.95033507828185,8
B,497.4345400990736,253.60374513028526,49999996.74537561,207.6072981038739,207.6072981038739,8
R,493.98248853190796,265.48054920789565,49999996.06357382,218.76443878731163,218.76443878731163,9
G,491.984227413862,263.026494254502,49999995.35584939,222.95033507828185,222.95033507828185,9
B,497.4345400990736,253.60374513028526,49999996.74537561,207.6072981038739,207.6072981038739,9
R,493.98248853190796,265.48054920789565,49999996.06357382,218.76443878731163,218.76443878731163,10
